model_name,test_fold,val_fold,num_layer,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,n_pred_0,n_pred_1,model_path
BaselineRNN,0,1,1,2,400,0.005,50,0.4232464645590101,0.8198343768935569,0.5972695885900686,0.7970321780794773,4606,345,./Results/NN_Results/rnn/cct/cct_rnn_fold0_1layer_2hidden.pt
BaselineRNN,1,2,1,2,400,0.005,50,0.42427664143698557,0.8174989849776695,0.6114479457319718,0.7847344574158656,4524,402,./Results/NN_Results/rnn/cct/cct_rnn_fold1_1layer_2hidden.pt
BaselineRNN,2,3,1,2,400,0.005,50,0.4090512607778822,0.8127035830618893,0.6032725779320964,0.7869576437681063,4510,402,./Results/NN_Results/rnn/cct/cct_rnn_fold2_1layer_2hidden.pt
BaselineRNN,3,4,1,2,400,0.005,50,0.48092295442308697,0.8055555555555556,0.550807894700582,0.7067587006194496,4681,215,./Results/NN_Results/rnn/cct/cct_rnn_fold3_1layer_2hidden.pt
BaselineRNN,4,0,1,2,400,0.005,50,0.4579986759594509,0.7876487484612228,0.5384544173119855,0.6866442239555204,4688,186,./Results/NN_Results/rnn/cct/cct_rnn_fold4_1layer_2hidden.pt
BaselineRNN,0,1,1,4,400,0.005,50,0.41737140502248493,0.8236719854574833,0.6053128382051816,0.8027239331134945,4595,356,./Results/NN_Results/rnn/cct/cct_rnn_fold0_1layer_4hidden.pt
BaselineRNN,1,2,1,4,400,0.005,50,0.41217747756413053,0.8193260251725538,0.6280226148416954,0.8008883260457017,4447,479,./Results/NN_Results/rnn/cct/cct_rnn_fold1_1layer_4hidden.pt
BaselineRNN,2,3,1,4,400,0.005,50,0.40659022331237793,0.8131107491856677,0.6024411138792944,0.7907659559868944,4518,394,./Results/NN_Results/rnn/cct/cct_rnn_fold2_1layer_4hidden.pt
BaselineRNN,3,4,1,4,400,0.005,50,0.43105526907103403,0.8237336601307189,0.6284512407321086,0.8011849278262015,4422,474,./Results/NN_Results/rnn/cct/cct_rnn_fold3_1layer_4hidden.pt
BaselineRNN,4,0,1,4,400,0.005,50,0.40241905195372446,0.8038572014772261,0.5905322228966712,0.7859820962288662,4523,351,./Results/NN_Results/rnn/cct/cct_rnn_fold4_1layer_4hidden.pt
BaselineRNN,0,1,1,8,400,0.005,50,0.4122680425643921,0.8226620884669764,0.6114510875916488,0.809128173730127,4554,397,./Results/NN_Results/rnn/cct/cct_rnn_fold0_1layer_8hidden.pt
BaselineRNN,1,2,1,8,400,0.005,50,0.41540646127292086,0.818717011774259,0.6340930051472515,0.7971360843778634,4408,518,./Results/NN_Results/rnn/cct/cct_rnn_fold1_1layer_8hidden.pt
BaselineRNN,2,3,1,8,400,0.005,50,0.39800454463277546,0.8169788273615635,0.6139496762436392,0.8057421472559163,4487,425,./Results/NN_Results/rnn/cct/cct_rnn_fold2_1layer_8hidden.pt
BaselineRNN,3,4,1,8,400,0.005,50,0.42676383682659697,0.8237336601307189,0.6265469017249282,0.8087224706023353,4432,464,./Results/NN_Results/rnn/cct/cct_rnn_fold3_1layer_8hidden.pt
BaselineRNN,4,0,1,8,400,0.005,50,0.3876005709171295,0.8093967993434551,0.6077507907288239,0.8032068605097595,4470,404,./Results/NN_Results/rnn/cct/cct_rnn_fold4_1layer_8hidden.pt
BaselineRNN,0,1,1,16,400,0.005,50,0.40502979925700594,0.8252878206422944,0.6360376198484841,0.8161435336439528,4445,506,./Results/NN_Results/rnn/cct/cct_rnn_fold0_1layer_16hidden.pt
BaselineRNN,1,2,1,16,400,0.005,50,0.4030806975705283,0.8142509135200975,0.6337820872852575,0.8039364448927433,4372,554,./Results/NN_Results/rnn/cct/cct_rnn_fold1_1layer_16hidden.pt
BaselineRNN,2,3,1,16,400,0.005,50,0.3982736212866647,0.8169788273615635,0.6299109606941513,0.8082486481141204,4399,513,./Results/NN_Results/rnn/cct/cct_rnn_fold2_1layer_16hidden.pt
BaselineRNN,3,4,1,16,400,0.005,50,0.4230040567261832,0.8237336601307189,0.6394964069737544,0.8107461395213649,4364,532,./Results/NN_Results/rnn/cct/cct_rnn_fold3_1layer_16hidden.pt
BaselineRNN,4,0,1,16,400,0.005,50,0.3908438427107675,0.8087812884694296,0.6213816147400131,0.7990632952367402,4385,489,./Results/NN_Results/rnn/cct/cct_rnn_fold4_1layer_16hidden.pt
BaselineRNN,0,1,1,32,400,0.005,50,0.4145255131380899,0.8210462532821652,0.5950189521927128,0.8047814908719534,4628,323,./Results/NN_Results/rnn/cct/cct_rnn_fold0_1layer_32hidden.pt
BaselineRNN,1,2,1,32,400,0.005,50,0.41009429522923063,0.8110028420625254,0.6145166675698684,0.801071255631172,4452,474,./Results/NN_Results/rnn/cct/cct_rnn_fold1_1layer_32hidden.pt
BaselineRNN,2,3,1,32,400,0.005,50,0.40549345101628986,0.8080211726384365,0.5916131613494339,0.7907945880166252,4535,377,./Results/NN_Results/rnn/cct/cct_rnn_fold2_1layer_32hidden.pt
BaselineRNN,3,4,1,32,400,0.005,50,0.4330381963934217,0.8171977124183006,0.6144597435732784,0.8000706620262322,4442,454,./Results/NN_Results/rnn/cct/cct_rnn_fold3_1layer_32hidden.pt
BaselineRNN,4,0,1,32,400,0.005,50,0.4021547862461635,0.8034468608945424,0.5851395774864676,0.788833701939414,4551,323,./Results/NN_Results/rnn/cct/cct_rnn_fold4_1layer_32hidden.pt
BaselineRNN,0,1,1,64,400,0.005,50,0.41472417967660086,0.822460109068875,0.5921424615494053,0.8028578179065194,4655,296,./Results/NN_Results/rnn/cct/cct_rnn_fold0_1layer_64hidden.pt
BaselineRNN,1,2,1,64,400,0.005,50,0.4166017898491451,0.8142509135200975,0.6309131520253489,0.7903271080668077,4388,538,./Results/NN_Results/rnn/cct/cct_rnn_fold1_1layer_64hidden.pt
BaselineRNN,2,3,1,64,400,0.005,50,0.4066855864865439,0.810057003257329,0.6045053949302892,0.7925589264830382,4481,431,./Results/NN_Results/rnn/cct/cct_rnn_fold2_1layer_64hidden.pt
BaselineRNN,3,4,1,64,400,0.005,50,0.4347129464149475,0.8180147058823529,0.6149708603634649,0.7955554937385594,4446,450,./Results/NN_Results/rnn/cct/cct_rnn_fold3_1layer_64hidden.pt
BaselineRNN,4,0,1,64,400,0.005,50,0.4023260474205017,0.8063192449733279,0.6016813691871424,0.785551319112401,4479,395,./Results/NN_Results/rnn/cct/cct_rnn_fold4_1layer_64hidden.pt
BaselineRNN,0,1,2,2,400,0.005,50,0.511942058801651,0.7990304988891133,0.5,0.41278294912377866,4951,0,./Results/NN_Results/rnn/cct/cct_rnn_fold0_2layer_2hidden.pt
BaselineRNN,1,2,2,2,400,0.005,50,0.4188620320388249,0.8217620787657328,0.624899451161297,0.7916639300067703,4485,441,./Results/NN_Results/rnn/cct/cct_rnn_fold1_2layer_2hidden.pt
BaselineRNN,2,3,2,2,400,0.005,50,0.40484159759112764,0.814128664495114,0.6070734483458002,0.790091778899178,4501,411,./Results/NN_Results/rnn/cct/cct_rnn_fold2_2layer_2hidden.pt
BaselineRNN,3,4,2,2,400,0.005,50,0.4321419256074088,0.8272058823529411,0.6374791075162506,0.7975937214267906,4403,493,./Results/NN_Results/rnn/cct/cct_rnn_fold3_2layer_2hidden.pt
BaselineRNN,4,0,2,2,400,0.005,50,0.39594796299934387,0.8122691834222404,0.6256607583114826,0.7951146702411087,4390,484,./Results/NN_Results/rnn/cct/cct_rnn_fold4_2layer_2hidden.pt
BaselineRNN,0,1,2,4,400,0.005,50,0.4134619150842939,0.8210462532821652,0.6081832316283134,0.8021156083755481,4558,393,./Results/NN_Results/rnn/cct/cct_rnn_fold0_2layer_4hidden.pt
BaselineRNN,1,2,2,4,400,0.005,50,0.40670348490987507,0.8219650832318312,0.651206723417709,0.809804301554864,4340,586,./Results/NN_Results/rnn/cct/cct_rnn_fold1_2layer_4hidden.pt
BaselineRNN,2,3,2,4,400,0.005,50,0.4012367342199598,0.8135179153094463,0.6077765097278267,0.7934204100207564,4492,420,./Results/NN_Results/rnn/cct/cct_rnn_fold2_2layer_4hidden.pt
BaselineRNN,3,4,2,4,400,0.005,50,0.42481655308178495,0.8206699346405228,0.6417692648263515,0.803248503371525,4327,569,./Results/NN_Results/rnn/cct/cct_rnn_fold3_2layer_4hidden.pt
BaselineRNN,4,0,2,4,400,0.005,50,0.3996738536017282,0.808370947886746,0.6149628374183216,0.7919796389651533,4419,455,./Results/NN_Results/rnn/cct/cct_rnn_fold4_2layer_4hidden.pt
BaselineRNN,0,1,2,8,400,0.005,50,0.40193241834640503,0.8277115734195112,0.6477096046460817,0.8235774423177566,4403,548,./Results/NN_Results/rnn/cct/cct_rnn_fold0_2layer_8hidden.pt
BaselineRNN,1,2,2,8,400,0.005,50,0.4055980997426169,0.818717011774259,0.6362447065921829,0.8069613385500938,4396,530,./Results/NN_Results/rnn/cct/cct_rnn_fold1_2layer_8hidden.pt
BaselineRNN,2,3,2,8,400,0.005,50,0.39558626072747366,0.8153501628664495,0.6350505992292812,0.8029681198115483,4357,555,./Results/NN_Results/rnn/cct/cct_rnn_fold2_2layer_8hidden.pt
BaselineRNN,3,4,2,8,400,0.005,50,0.4218850178377969,0.8188316993464052,0.6413809876513039,0.8117276865413798,4314,582,./Results/NN_Results/rnn/cct/cct_rnn_fold3_2layer_8hidden.pt
BaselineRNN,4,0,2,8,400,0.005,50,0.3931631062711988,0.8141157160443168,0.6282078705309043,0.80162193285082,4391,483,./Results/NN_Results/rnn/cct/cct_rnn_fold4_2layer_8hidden.pt
BaselineRNN,0,1,2,16,400,0.005,50,0.4024288313729422,0.8260957382347001,0.6316535915167343,0.8180988359390482,4475,476,./Results/NN_Results/rnn/cct/cct_rnn_fold0_2layer_16hidden.pt
BaselineRNN,1,2,2,16,400,0.005,50,0.4040860746588026,0.8172959805115713,0.6468227815635947,0.8083893131162636,4325,601,./Results/NN_Results/rnn/cct/cct_rnn_fold1_2layer_16hidden.pt
BaselineRNN,2,3,2,16,400,0.005,50,0.3957179955073765,0.8159609120521173,0.6278179214811361,0.8088895262773922,4402,510,./Results/NN_Results/rnn/cct/cct_rnn_fold2_2layer_16hidden.pt
BaselineRNN,3,4,2,16,400,0.005,50,0.42827432070459637,0.8225081699346405,0.6318741113626254,0.801658217814266,4394,502,./Results/NN_Results/rnn/cct/cct_rnn_fold3_2layer_16hidden.pt
BaselineRNN,4,0,2,16,400,0.005,50,0.3899139038154057,0.8098071399261387,0.6131434361390276,0.8038395179262022,4442,432,./Results/NN_Results/rnn/cct/cct_rnn_fold4_2layer_16hidden.pt
BaselineRNN,0,1,2,32,400,0.005,50,0.4104150448526655,0.8198343768935569,0.6194608024957955,0.8060067780764287,4488,463,./Results/NN_Results/rnn/cct/cct_rnn_fold0_2layer_32hidden.pt
BaselineRNN,1,2,2,32,400,0.005,50,0.407228946685791,0.8110028420625254,0.6518128259486803,0.8042227640323224,4244,682,./Results/NN_Results/rnn/cct/cct_rnn_fold1_2layer_32hidden.pt
BaselineRNN,2,3,2,32,400,0.005,50,0.4025253440652575,0.8147394136807817,0.6118117339355393,0.8022882667708016,4480,432,./Results/NN_Results/rnn/cct/cct_rnn_fold2_2layer_32hidden.pt
BaselineRNN,3,4,2,32,400,0.005,50,0.42587256857327055,0.8212826797385621,0.6238709479500604,0.8022083313076713,4426,470,./Results/NN_Results/rnn/cct/cct_rnn_fold3_2layer_32hidden.pt
BaselineRNN,4,0,2,32,400,0.005,50,0.3981093040534428,0.812679524004924,0.6194239087248229,0.7921041875848448,4430,444,./Results/NN_Results/rnn/cct/cct_rnn_fold4_2layer_32hidden.pt
BaselineRNN,0,1,2,64,400,0.005,50,0.41319539291518076,0.828115532215714,0.6287801494835147,0.8024338070534676,4507,444,./Results/NN_Results/rnn/cct/cct_rnn_fold0_2layer_64hidden.pt
BaselineRNN,1,2,2,64,400,0.005,50,0.41189651829855783,0.8197320341047503,0.6444168516981734,0.7963232027386744,4359,567,./Results/NN_Results/rnn/cct/cct_rnn_fold1_2layer_64hidden.pt
BaselineRNN,2,3,2,64,400,0.005,50,0.40412248032433645,0.8120928338762216,0.6083287168915353,0.798294918483224,4477,435,./Results/NN_Results/rnn/cct/cct_rnn_fold2_2layer_64hidden.pt
BaselineRNN,3,4,2,64,400,0.005,50,0.43039352127483915,0.8157679738562091,0.6048053297574223,0.7995097594449365,4481,415,./Results/NN_Results/rnn/cct/cct_rnn_fold3_2layer_64hidden.pt
BaselineRNN,4,0,2,64,400,0.005,50,0.397164238350732,0.805088223225277,0.5882397847204993,0.7930083733851127,4547,327,./Results/NN_Results/rnn/cct/cct_rnn_fold4_2layer_64hidden.pt
BaselineRNN,0,1,3,2,400,0.005,50,0.41731647508484976,0.8228640678650777,0.6318880804426582,0.7998506181056954,4447,504,./Results/NN_Results/rnn/cct/cct_rnn_fold0_3layer_2hidden.pt
BaselineRNN,1,2,3,2,400,0.005,50,0.4160374786172594,0.8181079983759643,0.6412392461752733,0.7941476517709956,4363,563,./Results/NN_Results/rnn/cct/cct_rnn_fold1_3layer_2hidden.pt
BaselineRNN,2,3,3,2,400,0.005,50,0.4087892898491451,0.8151465798045603,0.6225884767558372,0.7879523230036034,4424,488,./Results/NN_Results/rnn/cct/cct_rnn_fold2_3layer_2hidden.pt
BaselineRNN,3,4,3,2,400,0.005,50,0.4348605615752084,0.8253676470588235,0.6454699219727964,0.7970446478454711,4346,550,./Results/NN_Results/rnn/cct/cct_rnn_fold3_3layer_2hidden.pt
BaselineRNN,4,0,3,2,400,0.005,50,0.4042573698929378,0.806114074681986,0.6104435194936559,0.7872498896412479,4426,448,./Results/NN_Results/rnn/cct/cct_rnn_fold4_3layer_2hidden.pt
BaselineRNN,0,1,3,4,400,0.005,50,0.41173620734895977,0.8234700060593819,0.631891129052746,0.8073264451682071,4452,499,./Results/NN_Results/rnn/cct/cct_rnn_fold0_3layer_4hidden.pt
BaselineRNN,1,2,3,4,400,0.005,50,0.4077157591070448,0.8223710921640276,0.6468011796398497,0.8000090153693317,4368,558,./Results/NN_Results/rnn/cct/cct_rnn_fold1_3layer_4hidden.pt
BaselineRNN,2,3,3,4,400,0.005,50,0.3966828627245767,0.815757328990228,0.62515022355687,0.8051563889031839,4415,497,./Results/NN_Results/rnn/cct/cct_rnn_fold2_3layer_4hidden.pt
BaselineRNN,3,4,3,4,400,0.005,50,0.4213523268699646,0.8249591503267973,0.6414056855633424,0.8061384190580528,4364,532,./Results/NN_Results/rnn/cct/cct_rnn_fold3_3layer_4hidden.pt
BaselineRNN,4,0,3,4,400,0.005,50,0.39724986042295185,0.8112433319655314,0.6229535298565968,0.7966099972512554,4397,477,./Results/NN_Results/rnn/cct/cct_rnn_fold4_3layer_4hidden.pt
BaselineRNN,0,1,3,8,400,0.005,50,0.4025420461382185,0.8238739648555847,0.6283826869433111,0.8132131842224265,4474,477,./Results/NN_Results/rnn/cct/cct_rnn_fold0_3layer_8hidden.pt
BaselineRNN,1,2,3,8,400,0.005,50,0.40327851261411396,0.8162809581810799,0.6519194620346814,0.809586534184857,4288,638,./Results/NN_Results/rnn/cct/cct_rnn_fold1_3layer_8hidden.pt
BaselineRNN,2,3,3,8,400,0.005,50,0.40033948847225737,0.8118892508143323,0.6038472366433474,0.7968860208088007,4500,412,./Results/NN_Results/rnn/cct/cct_rnn_fold2_3layer_8hidden.pt
BaselineRNN,3,4,3,8,400,0.005,50,0.4269994454724448,0.821078431372549,0.6328839959869792,0.8044142448197429,4377,519,./Results/NN_Results/rnn/cct/cct_rnn_fold3_3layer_8hidden.pt
BaselineRNN,4,0,3,8,400,0.005,50,0.39001363941601347,0.8128846942962659,0.6287900888545963,0.8023952496536805,4377,497,./Results/NN_Results/rnn/cct/cct_rnn_fold4_3layer_8hidden.pt
BaselineRNN,0,1,3,16,400,0.005,50,0.4043145477771759,0.8222581296707736,0.6311327872933932,0.8142674952111417,4446,505,./Results/NN_Results/rnn/cct/cct_rnn_fold0_3layer_16hidden.pt
BaselineRNN,1,2,3,16,400,0.005,50,0.40845916526658194,0.8156719447827853,0.6526105987279089,0.8045748878760264,4279,647,./Results/NN_Results/rnn/cct/cct_rnn_fold1_3layer_16hidden.pt
BaselineRNN,2,3,3,16,400,0.005,50,0.4009480220930917,0.813314332247557,0.6199818268597197,0.7970840485034152,4423,489,./Results/NN_Results/rnn/cct/cct_rnn_fold2_3layer_16hidden.pt
BaselineRNN,3,4,3,16,400,0.005,50,0.4245907664299011,0.8186274509803921,0.6549644493054557,0.8059117182233414,4241,655,./Results/NN_Results/rnn/cct/cct_rnn_fold3_3layer_16hidden.pt
BaselineRNN,4,0,3,16,400,0.005,50,0.38881014926092966,0.8118588428395568,0.6264249043702066,0.80342373621569,4382,492,./Results/NN_Results/rnn/cct/cct_rnn_fold4_3layer_16hidden.pt
BaselineRNN,0,1,3,32,400,0.005,50,0.40779044798442293,0.8220561502726722,0.6366482310439966,0.8070176463713918,4415,536,./Results/NN_Results/rnn/cct/cct_rnn_fold0_3layer_32hidden.pt
BaselineRNN,1,2,3,32,400,0.005,50,0.40723316584314617,0.8172959805115713,0.6353470405239603,0.8062805657855996,4389,537,./Results/NN_Results/rnn/cct/cct_rnn_fold1_3layer_32hidden.pt
BaselineRNN,2,3,3,32,400,0.005,50,0.3973075236592974,0.8179967426710097,0.6341805386958728,0.8058224935243683,4384,528,./Results/NN_Results/rnn/cct/cct_rnn_fold2_3layer_32hidden.pt
BaselineRNN,3,4,3,32,400,0.005,50,0.428519606590271,0.8218954248366013,0.6257777567484445,0.8047002206433469,4421,475,./Results/NN_Results/rnn/cct/cct_rnn_fold3_3layer_32hidden.pt
BaselineRNN,4,0,3,32,400,0.005,50,0.3939907593386514,0.8122691834222404,0.6359220774263621,0.7981079267698731,4330,544,./Results/NN_Results/rnn/cct/cct_rnn_fold4_3layer_32hidden.pt
BaselineRNN,0,1,3,64,400,0.005,50,0.4112749014581953,0.8226620884669764,0.6374035241932616,0.8059877242633795,4416,535,./Results/NN_Results/rnn/cct/cct_rnn_fold0_3layer_64hidden.pt
BaselineRNN,1,2,3,64,400,0.005,50,0.4129250092165811,0.8136419001218027,0.6283767365511792,0.7918652149840932,4397,529,./Results/NN_Results/rnn/cct/cct_rnn_fold1_3layer_64hidden.pt
BaselineRNN,2,3,3,64,400,0.005,50,0.4059625267982483,0.8167752442996743,0.6413907648964756,0.7969735566177576,4334,578,./Results/NN_Results/rnn/cct/cct_rnn_fold2_3layer_64hidden.pt
BaselineRNN,3,4,3,64,400,0.005,50,0.429611189024789,0.815359477124183,0.6182610122140274,0.793113390193993,4407,489,./Results/NN_Results/rnn/cct/cct_rnn_fold3_3layer_64hidden.pt
BaselineRNN,4,0,3,64,400,0.005,50,0.3993496767112187,0.8030365203118588,0.6218183404472696,0.7898340566241401,4333,541,./Results/NN_Results/rnn/cct/cct_rnn_fold4_3layer_64hidden.pt
